"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 13:35:47 GMT 2021","Fri Aug 06 13:35:51 GMT 2021","4186","","MainPageTest","","MainPageTest","testClickNews","testClickNews()",""
"passed","Fri Aug 06 13:35:51 GMT 2021","Fri Aug 06 13:35:57 GMT 2021","6640","","MainPageTest","","MainPageTest","testListMaker","testListMaker()",""
"passed","Fri Aug 06 13:35:40 GMT 2021","Fri Aug 06 13:35:47 GMT 2021","6783","","MainPageTest","","MainPageTest","testClickPopup","testClickPopup()",""
